lat	lng	type
42.6595969	23.3752227	детска градина
42.6511431	23.3684049	детска градина
42.6467472	23.3699328	детска градина
42.6429777	23.380084	детска градина
42.6285662	23.38075	детска градина
42.6401904	23.3759237	детска градина
42.6757343	23.2907688	детска градина
42.6255087	23.4080558	детска градина
42.6486583	23.3849293	детска градина
42.654631	23.3801223	детска градина
42.6617982	23.3728152	детска градина
42.6399513	23.3803964	детска градина
42.7225281	23.2932438	детска градина
42.7347481	23.317018	детска градина
42.7309298	23.2915612	детска градина
42.7537441	23.3167954	детска градина
42.7353826	23.3100184	детска градина
42.7254203	23.3001209	детска градина
42.7317802	23.3043396	детска градина
42.7349581	23.3025476	детска градина
42.730886	23.2956319	детска градина
42.7621848	23.1948764	детска градина
42.7380025	23.3040292	детска градина
42.7319266	23.3108153	детска градина
42.7305681	23.3114007	детска градина
42.7110226	23.2986829	детска градина
42.8172349	23.3565517	детска градина
42.7833283	23.3857467	детска градина
42.6984485	23.330159	детска градина
42.8029849	23.3438478	детска градина
42.7109617	23.3169092	детска градина
42.6955384	23.3362271	детска градина
42.7002214	23.333645	детска градина
42.6945936	23.3440347	детска градина
42.697459	23.3500778	детска градина
42.6940195	23.3399756	детска градина
42.6976145	23.3314857	детска градина
42.6930577	23.3539118	детска градина
42.6496519	23.3359905	детска градина
42.6793101	23.2372372	детска градина
42.6751783	23.232507	детска градина
42.6807897	23.2517259	детска градина
42.6871475	23.2435634	детска градина
42.6807897	23.2517259	детска градина
42.6819083	23.2646834	детска градина
42.6944621	23.2259331	детска градина
42.6791745	23.2376816	детска градина
42.6864203	23.2427649	детска градина
42.6874813	23.2567786	детска градина
42.7208772	23.2215113	детска градина
42.6698483	23.3636297	детска градина
42.7416496	23.3072472	детска градина
42.6176096	23.416688	детска градина
42.5375197	23.3697256	детска градина
42.5986013	23.4036736	детска градина
42.5432006	23.4943114	детска градина
42.6073737	23.3904808	детска градина
42.7123824	23.3814976	детска градина
42.7021595	23.3760117	детска градина
42.712845	23.3803245	детска градина
42.697649	23.3695556	детска градина
42.7013268	23.358224	детска градина
42.7078708	23.3552508	детска градина
42.7112145	23.3694236	детска градина
42.7089112	23.3618324	детска градина
42.7012831	23.3690364	детска градина
42.7046896	23.2871339	детска градина
42.6999715	23.363462	детска градина
42.7177562	23.3477851	детска градина
42.71023825	23.30588675	детска градина
42.6942786	23.2224447	детска градина
42.7074001	23.3064545	детска градина
42.7095226	23.3153642	детска градина
42.7061934	23.3257729	детска градина
42.7233785	23.3318523	детска градина
42.74368363	23.34495295	детска градина
42.7141607	23.3005508	детска градина
42.7135919	23.3106954	детска градина
42.6882696	23.358984	детска градина
42.6783553	23.3627925	детска градина
42.6858942	23.3713044	детска градина
42.69228421	23.38032635	детска градина
42.681791	23.361676	детска градина
42.6778787	23.3613149	детска градина
42.6824316	23.3769634	детска градина
42.6850412	23.3732167	детска градина
42.6834111	23.3572169	детска градина
42.6891688	23.3624177	детска градина
42.6913385	23.3202653	детска градина
42.6898011	23.3443882	детска градина
42.6857748	23.3458195	детска градина
42.6894085	23.3264427	детска градина
42.6517803	23.363285	детска градина
